RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.10.7;Datestart
31;;;;7 АП;15522,;;;A>B;A;ав Московский - Колодищанское кладбище;1234567;69633;;14387,14500,14652,14378,14642,16157,14636,69032,16146,91052,16147,16144,16142,16140,16138,16136;;d1-d5 - 01.08.2013<br>d6-d7 - 01.07.2012
;;;;;;;;B>A;A;Колодищанское кладбище - ав Московский;1234567;69632;;16136,16139,16141,16148,16143,91054,16145,91053,73715,69033,14637,14638,14641,14656,14653,14488,14387;;
32с;;;;2 АП;15979,;;;A>B;A;Малиновка-4 - д/с Дружная;1234567;104854;;54638,14951,14952,14953,14954,14930,14931,14986,14987,143099,14919,14920,14921,69034,15691,15694,15696,15698,15699,15700,15701,15844,71378;;d1-d5 - 01.10.2013<br>d6 - 05.10.2013<br>d7 - 06.10.2013
;;;;;;;;B>A;A;д/с Дружная - Малиновка-4;1234567;104853;;71378,15667,15668,15669,15675,14718,15684,15685,15689,14911,14922,14923,14924,14976,14977,14945,14946,14947,14948,14949,14950,147112,54638;;
33;;;;7 АП;15586,;;;A>B;A;д/с Уручье-4 - Копище;1234567;73194;;14660,14659,14657,14656,14653,14674,14379,14664,144041,144042,144043;;d1-d7 - 03.09.2012
;;;;;;;;B>A;A;Копище - д/с Уручье-4;1234567;73195;;144043,161015,14663,14380,14673,14652,14654,14658,14660;;
34;;;;;15737,;;;A>B;A;д/с Славинского - Гаражи;1234567;87771;;15014,14350,14347,14345,14346,14342,14393,14421,14419,14417,14415,14414,16018,16002,54765;;d1-d5 - 01.02.2013<br>d6-d7 - 07.09.2013
;;;;;;;;B>A;A;Гаражи - д/с Славинского;1234567;87772;;54765,54766,16017,69035,14412,14413,14416,14631,14418,14420,14341,14343,14344,14348,14997,15014;;
35с;;;;2 АП;15651,;;;A>B;A;Вокзал - филиал БГУ;1234567;80868;;15899,15944,15667,14718,15685,15689,16231,71916,72681,16118,16119,16120;;d1-d5 - 16.09.2013<br>d6-d7 - 07.11.2012
;;;;;;;;B>A;A;филиал БГУ - Вокзал;1234567;80865;;16120,16121,16122,72680,72679,73882,15691,15694,15698,15845,15870,15899;;
